Код теста;Исследование ;Название в ЛИС;Состояние натощак;Исследуемый биоматериал;Номер контейнера;Важные ПРЕАНАЛИТИЧЕСКИЕ замечания ;Тип ПЕРВИЧНОГО контейнера;Тип контейнера для ХРАНЕНИЯ и ТРАНСПОРТИРОВКИ;Температура хранения и транспортировки;Правила взятия и пробоподготовки биоматериала
AN65110;Соотношение кортизол / креатинин в моче;Кортизол/креатинин соотношение в моче;;моча ;829;;Контейнер для сбора мочи + Пробирка с белой крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. В лабораторию поступает пробирка с белой крышкой. 2. Собрать мочу(около 50 мл) в контейнер для сбора со встроенным устройством для переноса мочи. 3. Снять защитную наклейку с крышки контейнера#comma# насадить пробирку вниз резиновой пробкой в углубление на крышке контейнера. 4. Наполнить пробирку мочой. После того как моча прекратит поступать в пробирку#comma# снять пробирку с пробойника. 5. Минимальный объем мочи#comma# необходимый для переноса из контейнера в пробирку при помощи вакуума#comma# - 20 мл. 6. При меньшем объеме#comma# для переноса 4 мл мочи использовать стерильный шприц. 7. Пробирку маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем мочи необходимый для исследования - 2 мл 
AN66110;Соотношение норметанефрин/креатинин в моче;Соотношение норметанефрин/креатинин в моче;;разовая порция мочи; 829;Использовать утреннюю порцию мочи (максимально концентрированную);Стерильный контейнер с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. В лабораторию поступает пробирка с белой крышкой. 2. Собрать мочу(около 50 мл) в контейнер для сбора со встроенным устройством для переноса мочи. 3. Снять защитную наклейку с крышки контейнера#comma# насадить пробирку вниз резиновой пробкой в углубление на крышке контейнера. 4. Наполнить пробирку мочой. После того как моча прекратит поступать в пробирку#comma# снять пробирку с пробойника. 5. Минимальный объем мочи#comma# необходимый для переноса из контейнера в пробирку при помощи вакуума#comma# - 20 мл. 6. При меньшем объеме#comma# для переноса 4 мл мочи использовать стерильный шприц. 7. Пробирку маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем мочи необходимый для исследования - 2 мл 
AN66110;Соотношение норметанефрин/креатинин в моче;Соотношение норметанефрин/креатинин в моче;;разовая порция мочи; 863;Использовать утреннюю порцию мочи (максимально концентрированную);Стерильный контейнер с красной крышкой;Пробирка с белой крышкой;-17°С…-23°С#comma# ;1. Собрать мочу(около 50 мл) в стерильный контейнер. 2. При помощи шприца перенести мочу в ДВЕ пробирки с белой крышкой. 3. Пробирки маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. 4. Заморозить в вертикальном положении при -17°С…-23°С.  Внимание! Минимальный объем мочи необходимый для исследования в каждой пробирке - 4 мл
AN67110;Норметанефрин + метанефрин в суточной моче;Норметанефрин + метанефрин в суточной моче;;суточная моча с консервантом;863;Заранее запросить конверт с консервантом. За день до исследования и в день сбора мочи исключить введение диуретиков. Подготовить  сухуя чистуя ёмкость для сбора мочи(2-3 литра);Стерильный контейнер с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Сбор мочи осуществлять в стерильный контейнер. 2. Подготовить промежуточную сухую чистую емкость для сбора мочи (2-3 литра). 3. Перелить первую полученную порцию мочи   в промежуточную емкость и добавить в нее конверт с консервантом. Записать время первого сбора мочи. 4. Емкость плотно закрыть крышкой#comma# перемешать содержимое#comma# покачивая емкость. Хранить при температуре +2°С…+8°С. 5. Все последующие порции мочи#comma# выделенные в течение дня#comma# ночи и порцию через сутки с начала сбора мочи собирать в емкость с первой порцией в промежуточный контейнер с консервантом#comma# перемешивая содержимое каждый раз. 6. После завершения сбора мочи содержимое емкости тщательно перемешать#comma# точно измерить объем и сразу при помощи шприца перенести мочу в ДВЕ пробирки с белой крышкой. 7. Пробирки маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента и СУТОЧНЫЙ ОБЪЕМ (Диурез). 8. Пробирки заморозить в вертикальном положении при -17°С…-23°С.
AN114;Фракционная экскреция калия и натрия с мочой;Фракционная экскреция калия и натрия с мочой;;моча ;829;;Контейнер для сбора мочи + Пробирка с белой крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. В лабораторию поступает пробирка с белой крышкой. 2. Собрать мочу(около 50 мл) в контейнер для сбора со встроенным устройством для переноса мочи. 3. Снять защитную наклейку с крышки контейнера#comma# насадить пробирку вниз резиновой пробкой в углубление на крышке контейнера. 4. Наполнить пробирку мочой. После того как моча прекратит поступать в пробирку#comma# снять пробирку с пробойника. 5. Минимальный объем мочи#comma# необходимый для переноса из контейнера в пробирку при помощи вакуума#comma# - 20 мл. 6. При меньшем объеме#comma# для переноса 4 мл мочи использовать стерильный шприц. 7. Пробирку маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем мочи необходимый для исследования - 2 мл 
AN114;Фракционная экскреция калия и натрия с мочой;Фракционная экскреция калия и натрия с мочой;;сыворотка;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN1265ИУ;Исследование уролитов (ИК-спектрометрия);Исследование химического состава уролита (ИК-спектрометрия);;камень;838;;Стерильный контейнер с красной крышкой;Стерильный контейнер с красной крышкой;специальных условий не требуется;1.Образцы камней#comma# отошедших с мочой или извлеченных при оперативном вмешательстве (мочевой пузырь)#comma# размером не менее 0.5 мм промыть холодной водой#comma# высушить. 2. Поместить в  стерильный контейнер с красной крышкой (СКК). 3. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. 4. Камни#comma# имеющие линейный размер по одному измерению от 0#comma#5 мм до 1 мм#comma# промаркировать надписью «Микро» на СКК.
AN159;Паразитологическое исследование фекалий (нативный препарат#comma# флотация);Паразитологическое исследование;;фекалии;812;;Контейнер для кала с ложечкой;Контейнер для кала с ложечкой; +2°С…+8°С;1. Прием материала от клиента  – стерильный контейнер с ложечкой. 2. Доставить в течение 48 часов с момента сбора биоматериала. 3. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Для исследования достаточно фекалий размером с грецкий орех
AN161ИГ;Исследование гельминта;Исследование гельминта;;гельминт;913;;Стерильный контейнер с красной крышкой / c 70% спирт;Стерильный контейнер с красной крышкой / c 70% спирт; +2°С…+8°С;1. Гельминт или часть гельминта поместить в  стерильный контейнер с красной крышкой заполненный 70% спиртом в соотношении спирт : биоматериал 10:1. 3. Плотно закрыть контейнер крышкой. 4. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заполнить направительный бланк#comma# указав код клиента.
AN240СКР;Определение скрытой крови в кале;Определение скрытой крови в кале;;фекалии;812;"требуется специальная подготовка перед исследованием! см.на ""Первый лист п.3""";Контейнер для кала с ложечкой;Контейнер для кала с ложечкой; +2°С…+8°С;1. Прием материала от клиента  – стерильный контейнер с ложечкой. 2. Доставить в течение 48 часов с момента сбора биоматериала. 3. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Для исследования достаточно фекалий размером с грецкий орех
AN20ОБС;Комплексное паразитологическое исследование (флотация + Лямблиоз (Giardia lamblia spp.) (ПЦР) + Криптоспоридиоз (Cryptosporidium spp.) (ПЦР));AN20ОБС;;фекалии;812;;Контейнер для кала с ложечкой;Контейнер для кала с ложечкой; +2°С…+8°С;1. Прием материала от клиента  – стерильный контейнер с ложечкой. 2. Доставить в течение 48 часов с момента сбора биоматериала. 3. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Для исследования достаточно фекалий размером с грецкий орех
AN20ОБС;Комплексное паразитологическое исследование (флотация + Лямблиоз (Giardia lamblia spp.) (ПЦР) + Криптоспоридиоз (Cryptosporidium spp.) (ПЦР));AN20ОБС;;фекалии;881;;Контейнер для кала с ложечкой;Контейнер для кала с ложечкой; +2°С…+8°С;1. Поместить фекалии размером с лесной орех в стерильный контейнер с ложечкой и крышкой (ККЛ). 2. Маркировать контейнер Ф.И.О. владельца и кличкой животного. 3. Заполнить направительный бланк#comma# указав код клиента.
AN401ПДЕ;Контроль лечения дерматомикозов (посев);Контроль лечения дерматомикозов (посев);;шерсть;813;;Пробирка с белой крышкой;Пробирка с белой крышкой; +20°С…+25°С (хранение до отправки) #comma#           +2...8 °С  транспортировка;1. Взять шерсть на границе здоровых и поражённых волос (аллопеции). 2. Поместить шерсть  в пустую пластиковую пробирку с белой крышкой. 3. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента.
AN402ОТО;Исследование на отодектоз;Исследование на отодектоз;;содержимое НСП;849;в капле вазелинового масла;Предметное стекло / Контейнер для транспортировки;Предметное стекло / Контейнер для транспортировки; +20°С…+25°С (хранение до отправки) #comma#           +2...8 °С  транспортировка;1. Материал собирается врачом-специалистом. 2. На предметное стекло наносится капля вазелинового масла. 3. При помощи ватной палочки провести взятие содержимого  НСП. 4. При помощи пинцета погрузить в каплю вазелинового масла содержимое НСП находящееся на ватной палочке. 5. Накрыть материал  вторым предметным  стеклом. 6. Зафиксировать короткие края стекол тонкой полоской скотча. 7. Контейнер для транспортировки и стекла маркировать Ф.И.О. владельца#comma# кличкой животного#comma# указать локализацию#comma#  заполнить направительный бланк#comma# указав код клиента. 8. Положить зафиксированные стекла в пластиковый контейнер для транспортировки.
AN403ЛНСП;Цитологическое исследование НСП (наружного слухового прохода);AN403;;мазок-отпечаток из НСП;817;;Предметное стекло / Контейнер для транспортировки;Предметное стекло / Контейнер для транспортировки; +20°С…+25°С (хранение до отправки) #comma#           +2...8 °С  транспортировка;"Материал собирается врачом-специалистом. 2. При помощи стерильной палочки провести забор материала из НСП. 3. ""Раскатать""  материал на 2 предметных стеклах (для цитологии из НСП края стекла маркируются буквами R и L для правого и левого уха соответственно). 4. Положить  стекла материалом вверх  в пластиковый контейнер для транспортировки. 5. Промаркировать стекла и контейнер для транспортировки Ф.И.О. владельца#comma# кличкой животного#comma# указать локализацию. 6. Заполнить направительный бланк#comma# указав код клиента."
AN407ЭКТ;Исследование на эктопаразитов;Исследование на эктопаразитов;;глубокий соскоб с кожи;872;в капле вазелинового масла;Предметное стекло / Контейнер для транспортировки;Предметное стекло / Контейнер для транспортировки;+20°С…+25°С (хранение до отправки) #comma#           +2...8 °С  транспортировка;Кожа 1. Выстричь шерсть с места поражения. 2. На предметное стекло наносится капля вазелинового масла. 3. Провести взятие глубокого соскоба до появления капель капиллярной крови с кожи при помощи скальпеля#comma# и погрузить в каплю вазелинового масла. 4. Накрыть материал  вторым предметным  стеклом. 5. Зафиксировать короткие края стекол тонкой полоской скотча. 6. Контейнер для транспортировки и стекла маркировать Ф.И.О. владельца#comma# кличкой животного#comma# указать локализацию#comma#  заполнить направительный бланк#comma# указав код клиента. 7. Положить зафиксированные стекла в пластиковый контейнер для транспортировки.  Перья 1. На предметное стекло наносится капля вазелинового масла. 3. Перья погрузить в каплю вазелинового масла. 4. Накрыть материал вторым предметным  стеклом. 5. Зафиксировать короткие края стекол тонкой полоской скотча. 6. Контейнер для транспортировки и стекла маркировать Ф.И.О. владельца#comma# кличкой животного#comma# указать локализацию#comma#  заполнить направительный бланк#comma# указав код клиента. 7. Положить зафиксированные стекла в пластиковый контейнер для транспортировки.
AN404КОЖ;Цитологическое исследование мазка-отпечатка с кожи;Цит.исслед.мазка-отпечатка с кожи;;мазок-отпечаток с кожи;817;;Предметное стекло / Контейнер для транспортировки;Предметное стекло / Контейнер для транспортировки;+20°С…+25°С (хранение до отправки) #comma#           +2...8 °С  транспортировка;1. Материал собирается врачом-специалистом. 2. Приложить стекло к пораженной поверхности кожи для получения отпечатка. 3. Промаркировать стекла указав ФИО владельца#comma# вид и кличку животного. 4. Положить  стекло материалом вверх  в пластиковый контейнер для транспортировки. 5. Контейнер для транспортировки маркировать Ф.И.О. владельца#comma# кличкой животного#comma# указать локализацию#comma#  заполнить направительный бланк#comma# указав код клиента.
AN200SN;Исследование на дирофиляриоз#comma# анаплазмоз#comma# боррелиоз#comma# эрлихиоз (SNAP 4D);Исслед.на дирофиляриоз#comma# анаплазмоз#comma# боррелиоз#comma# эрлихиоз (Snap 4D);;сыворотка крови;847;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN201DIO;Исследование на дирофиляриоз (Dirofilaria immitis#comma# определение АГ)#comma# собаки;Антиген Dirofilaria immitis (ИХ);;сыворотка крови;847;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN31ОБС;Исследование на вирусную лейкемию и вирусный иммунодефицит кошек (определение АТ к FIV и АГ FeLV)                            ;AN31ОБС;;сыворотка крови;847;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN207TOX;Суммарные антитела класса IgG + IgM к Toxoplasma gondii (тИФА);Суммарные антитела класса IgG + IgM к Toxoplasma gondii (тИФА);6 ч;сыворотка крови;847;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN208CORV;Антитела класса IgG к коронавирусной инфекции кошек (тИФА);Антитела класса IgG к коронавирусной инфекции кошек (тИФА);6 ч;сыворотка крови;847;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN209FIV;Антитела класса IgG к FIV (Feline immunodeficiency virus) (тИФА);Антитела IgG к Feline Immunodeficiency Virus (тИФА);6 ч;сыворотка крови;847;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN210FELV;Определение антигена р27 FeLv (Feline leukemia virus) (тИФА);Антиген p27 Feline Leukemia Virus (тИФА);6 ч;сыворотка крови;847;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN237ЧЕК;ВакциЧек#comma# определение антител класса IgG к аденовирусу тип I (вирусный гепатит собак (СAV I)#comma# парвовирусу (CPV)#comma# чуме плотоядных (CDV);AN237;6 ч;сыворотка крови;908;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN238ЧЕК;ВакциЧек#comma# определение антител класса IgG к вирусу панлейкопении (FPV)#comma# калицивирусу (FCV)#comma# герпес вирусу (FHV);AN238;6 ч;сыворотка крови;908;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN239RAB;Определение титра антител к бешенству (сертификат);Определение титра антител к бешенству (сертификат);12 ч;сыворотка крови;857;ИНСТРУКЦИЯ ПО ОФОРМЛЕНИЮ ДОКУМЕНТОВ - У МЕНЕДЖЕРА ;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 6. Заморозить в вертикальном положении при -17°С…-23°С. 7. Перед передачей курьеру замороженной пробы#comma# оформить необходимые документы. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл  Гемолизные сыворотки на исследование не принимаются!
AN239RABCT;Определение титра антител к бешенству CITO (сертификат);Определение титра антител к бешенству CITO (сертификат);12 ч;сыворотка крови;857;ИНСТРУКЦИЯ ПО ОФОРМЛЕНИЮ ДОКУМЕНТОВ - У МЕНЕДЖЕРА ;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 6. Заморозить в вертикальном положении при -17°С…-23°С. 7. Перед передачей курьеру замороженной пробы#comma# оформить необходимые документы. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл  Гемолизные сыворотки на исследование не принимаются!
AN239DS;Дубликат сертификата;Дубликат сертификата;;;;;;;;
AN43CRP;С-реактивный белок (собаки);С-реактивный белок (собаки);12 ч;сыворотка крови;908;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN45SAA;SAA (Сывороточный амилоид А (кошки));SAA (Сывороточный амилоид А (кошки));12 ч;сыворотка крови;908;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN157TPI;Тропонин I;Тропонин;12 ч;сыворотка крови;811;;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN54T4;Т4 общий (тироксин);Т4 общий;12 ч;сыворотка крови;891;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN56TSH;ТТГ собак (тиреотропный гормон);ТТГ собаки;12 ч;сыворотка крови;891;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN62E2;Эстрадиол;Эстрадиол;12 ч;сыворотка крови;803;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
